dyadid,time,ver_coop,ver_conflict,mat_coop,mat_conflict
100002,13104,1,0,0,0
100002,13105,1,0,0,0
100002,13107,0,0,0,0
100002,13108,1,0,0,0
100002,13109,1,0,0,0
100002,13115,0,0,0,0
100002,13129,1,1,0,0
100002,13132,0,0,0,2
100002,13134,1,0,0,0
100002,13135,0,0,0,0
100002,13136,0,1,0,0
100002,13137,0,0,0,0
100002,13138,1,0,0,0
100002,13144,0,1,0,0
100002,13145,0,0,0,0
100002,13146,0,0,0,0
100020,12805,0,0,0,1
100020,12977,1,0,0,0
100020,13025,0,0,0,0
100040,12941,1,0,0,0
100040,12978,0,0,0,0
100040,12998,0,0,0,0
100040,13048,0,0,0,0
100040,13052,0,0,0,0
100040,13074,1,0,0,0
100040,13075,0,1,0,0
100041,12939,1,0,0,0
100041,12960,1,0,0,0
100041,12978,2,0,0,0
100041,13095,2,0,2,0
100041,13096,2,0,1,0
100041,13104,0,0,1,0
100041,13109,1,0,0,0
100041,13144,1,0,0,0
100042,12946,1,0,0,0
100042,13034,1,0,0,0
100070,12855,0,0,0,0
100070,12935,0,0,0,1
100070,12940,0,1,0,0
100070,12949,0,1,0,3
100070,13006,0,0,0,0
100070,13026,0,0,0,0
100070,13032,0,0,0,0
100070,13124,0,0,0,0
100090,13040,0,1,0,0
100090,13146,0,0,0,1
100091,12968,0,0,0,0
100091,13066,0,0,0,1
100093,13028,0,1,0,0
100093,13032,1,0,0,0
100093,13055,0,0,0,0
100094,12933,0,0,0,0
100094,12936,1,0,0,0
100094,12965,1,0,0,0
100094,12968,0,0,0,0
100095,13041,0,0,0,0
100095,13052,0,0,0,0
100095,13084,0,0,0,1
100095,13108,0,0,0,0
100095,13109,0,0,0,0
101002,12836,1,0,0,0
101002,12844,0,0,0,0
101002,12982,1,0,0,0
101002,12983,1,0,0,0
101002,13003,0,0,0,0
101002,13005,0,0,0,0
101002,13024,0,0,0,0
101002,13073,0,0,0,0
101002,13124,0,0,0,0
101040,12955,1,1,0,0
101040,12957,0,0,0,0
101040,12961,0,1,0,0
101040,12975,0,0,0,0
101040,12998,0,0,0,0
101040,13017,0,0,0,0
101040,13033,1,0,0,0
101040,13096,0,0,0,0
101040,13100,0,0,0,0
101040,13101,0,0,0,0
101040,13102,0,0,0,0
101070,13026,0,0,0,0
101070,13032,0,0,0,0
101070,13052,0,0,0,0
101090,13116,0,0,0,0
